product_id,language,name,description,long_description,created_at,updated_at
13,en,Keychains Core Kit 1,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
13,ar,ميداليات مجموعة أساسية 1,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,en,Keychains Pro Pack 2,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,ar,ميداليات باقة متقدمة 2,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,en,Keychains Edition 3,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,ar,ميداليات إصدار 3,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,en,Keychains Edition 4,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,ar,ميداليات إصدار 4,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,en,Keychains Edition 5,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,ar,ميداليات إصدار 5,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,en,Keychains Edition 6,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,ar,ميداليات إصدار 6,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,en,Keychains Edition 7,"Quality keychains items for party, gift & seasonal needs.","Quality keychains items for party, gift & seasonal needs. Designed for daily use.",2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,ar,ميداليات إصدار 7,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي.,منتجات ميداليات بجودة عالية ضمن فئة حفلات وهدايا وموسمي. مناسبة للاستخدام اليومي.,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
